Spieler,datum_transfer,Restvertrag.in.Monaten...12,abloese,marktwert_zeitpunkt,factor,year
Rafael van der Vaart,2012-08-31,"1,75",13000000,24500000,1.8846153846153846,2012
Carlos Tevez,2017-01-01,"1,42",10500000,8500000,0.8095238095238095,2017
Jérémy Toulalan,2011-07-01,"1,92",11000000,18000000,1.6363636363636365,2011
Jonathan Soriano,2017-02-26,"1,33",15000000,6000000,0.4,2017
Cesc Fàbregas,2014-07-01,"1,92",33000000,50000000,1.5151515151515151,2014
Ramiro Funes Mori,2015-09-01,"1,75",12900000,6000000,0.46511627906976744,2015
Robinho,2010-08-31,"1,75",21000000,28000000,1.3333333333333333,2010
Álvaro Negredo,2015-07-01,"1,92",28000000,22000000,0.7857142857142857,2015
Gökhan Inler,2011-07-11,"1,92",18000000,15000000,0.8333333333333334,2011
Javier Mascherano,2010-08-28,"1,83",20000000,26000000,1.3,2010
Arda Turan,2015-07-06,"1,92",34000000,35000000,1.0294117647058822,2015
Filipe Luís,2015-07-28,"1,92",16000000,15000000,0.9375,2015
Robert Snodgrass,2017-01-27,"1,42",12000000,5000000,0.4166666666666667,2017
Jérôme Boateng,2010-07-01,"1,92",12500000,15000000,1.2,2010
Kévin Gameiro,2018-08-12,"1,83",16000000,20000000,1.25,2018
Edin Dzeko,2016-07-01,"1,92",11000000,18000000,1.6363636363636365,2016
Christopher Samba,2013-01-31,"1,83",15000000,15000000,1,2013
João Moutinho,2013-07-01,"1,92",25000000,30000000,1.2,2013
Yohan Cabaye,2015-07-01,"1,92",13900000,16000000,1.1510791366906474,2015
Gervinho,2016-01-26,"1,42",18000000,15000000,0.8333333333333334,2016
Theo Walcott,2018-01-17,"1,42",22500000,20000000,0.8888888888888888,2018
Asmir Begovic,2017-07-01,"1,92",11500000,8000000,0.6956521739130435,2017
Axel Witsel,2018-08-06,"1,33",20000000,20000000,1,2018
Dusan Tadic,2018-07-03,"1,92",13700000,15000000,1.094890510948905,2018
Max Kruse,2015-07-01,"1,92",12000000,12000000,1,2015
Dimitri Payet,2015-07-01,"1,92",15000000,13000000,0.8666666666666667,2015
Arturo Vidal,2015-07-28,"1,92",39250000,42000000,1.070063694267516,2015
Jeremain Lens,2015-07-15,"1,92",11400000,12000000,1.0526315789473684,2015
Marek Hamsik,2019-02-14,"1,33",20000000,30000000,1.5,2019
Fredy Guarín,2016-01-27,"1,42",13000000,10500000,0.8076923076923077,2016
Gonzalo Higuaín,2016-07-26,"1,92",90000000,65000000,0.7222222222222222,2016
Mats Hummels,2019-07-01,"1,92",30500000,35000000,1.1475409836065573,2019
Claudio Bravo,2016-08-25,"1,83",18000000,15000000,0.8333333333333334,2016
Alexis Sánchez,2014-07-10,"1,92",42500000,30000000,0.7058823529411765,2014
Ivan Perisic,2015-08-30,"1,83",19000000,13000000,0.6842105263157895,2015
Toby Alderweireld,2015-07-08,"1,92",16000000,15000000,0.9375,2015
Miralem Pjanic,2016-07-01,"1,92",32000000,35000000,1.09375,2016
Sebastian Rode,2016-07-01,"1,92",12000000,8000000,0.6666666666666666,2016
Diego Costa,2018-01-01,"1,42",60000000,50000000,0.8333333333333334,2018
Loïc Rémy,2010-08-19,"1,83",15500000,12000000,0.7741935483870968,2010
Medhi Benatia,2017-07-01,"1,92",16700000,15000000,0.8982035928143712,2017
Grzegorz Krychowiak,2019-07-03,"1,92",12000000,18000000,1.5,2019
Adrián López,2014-07-12,"1,92",11000000,8000000,0.7272727272727273,2014
André Ayew,2018-01-31,"1,33",22800000,18000000,0.7894736842105263,2018
Cenk Tosun,2018-01-05,"1,42",22500000,10500000,0.4666666666666667,2018
Stevan Jovetic,2017-01-03,"1,42",13500000,10000000,0.7407407407407407,2017
Stevan Jovetic,2017-08-29,"1,83",10500000,10000000,0.9523809523809523,2017
Andrej Kramaric,2016-07-01,"1,92",11000000,5000000,0.45454545454545453,2016
David Luiz,2016-08-31,"1,75",35000000,28000000,0.8,2016
Simon Kjaer,2017-07-31,"1,83",12500000,11000000,0.88,2017
Christian Benteke,2015-07-22,"1,92",46500000,20000000,0.43010752688172044,2015
Eden Hazard,2012-07-01,"1,92",35000000,33000000,0.9428571428571428,2012
Simon Mignolet,2013-07-01,"1,92",10600000,5500000,0.5188679245283019,2013
Aleksandar Mitrovic,2018-07-30,"1,92",24700000,15000000,0.6072874493927125,2018
Mateo Kovacic,2019-07-01,"1,92",45000000,35000000,0.7777777777777778,2019
Fraser Forster,2014-08-09,"1,83",12500000,4500000,0.36,2014
Jay Rodríguez,2017-07-02,"1,92",13700000,10000000,0.7299270072992701,2017
Nicolás Otamendi,2020-09-29,"1,75",15000000,14500000,0.9666666666666667,2020
Matteo Darmian,2015-07-11,"1,92",18000000,12000000,0.6666666666666666,2015
Henrikh Mkhitaryan,2013-07-09,"1,92",27500000,22000000,0.8,2013
Enzo Pérez,2015-01-02,"1,42",25000000,23000000,0.92,2015
Morgan Schneiderlin,2015-07-13,"1,92",35000000,28000000,0.8,2015
Sebastian Rudy,2018-08-27,"1,83",16000000,15000000,0.9375,2018
Jack Rodwell,2012-08-12,"1,83",15000000,15000000,1,2012
Ignacio Camacho,2017-07-08,"1,92",14000000,10000000,0.7142857142857143,2017
Yevgen Konoplyanka,2017-07-01,"1,92",12500000,10000000,0.8,2017
Aleksandar Dragovic,2016-08-23,"1,83",21000000,15000000,0.7142857142857143,2016
David de Gea,2011-07-01,"1,92",25000000,12000000,0.48,2011
Nacer Chadli,2016-08-29,"1,83",15200000,13000000,0.8552631578947368,2016
Nacer Chadli,2018-08-30,"1,83",12000000,15000000,1.25,2018
Jordan Henderson,2011-07-01,"1,92",18000000,8500000,0.4722222222222222,2011
Jake Livermore,2017-01-20,"1,42",11500000,4500000,0.391304347826087,2017
Andros Townsend,2016-01-27,"1,42",15700000,8000000,0.5095541401273885,2016
Brown Ideye,2014-07-18,"1,92",12632000,7000000,0.5541481950601647,2014
Brown Ideye,2017-02-28,"1,33",12000000,6000000,0.5,2017
Ashley Williams,2016-08-10,"1,83",14000000,8000000,0.5714285714285714,2016
Neymar,2013-07-01,"1,42",88200000,50000000,0.5668934240362812,2013
Mauro Icardi,2020-07-01,"1,92",50000000,60000000,1.2,2020
Bernd Leno,2018-07-01,"1,92",25000000,20000000,0.8,2018
Luuk de Jong,2019-07-01,"1,92",12500000,12000000,0.96,2019
Steven Nzonzi,2018-08-14,"1,83",26650000,30000000,1.125703564727955,2018
Jackson Martínez,2015-07-16,"1,92",35000000,35000000,1,2015
Nemanja Matic,2017-07-31,"1,83",44700000,35000000,0.7829977628635347,2017
Seydou Doumbia,2015-01-31,"1,33",14400000,25000000,1.7361111111111112,2015
Douglas Costa,2018-07-01,"1,92",40000000,55000000,1.375,2018
Abel Hernández,2014-09-01,"1,75",12000000,5000000,0.4166666666666667,2014
Lucas Moura,2018-01-31,"1,33",28400000,28000000,0.9859154929577465,2018
Victor Wanyama,2013-07-11,"1,92",14500000,5000000,0.3448275862068966,2013
Daniel Ginczek,2018-07-01,"1,92",14000000,3500000,0.25,2018
Juan Iturbe,2014-07-01,"1,92",15000000,10000000,0.6666666666666666,2014
Wilfried Bony,2017-08-31,"1,75",13000000,18000000,1.3846153846153846,2017
Diego Demme,2020-01-11,"1,42",10250000,17000000,1.6585365853658536,2020
