Spieler,datum_transfer,Restvertrag.in.Monaten...12,abloese,marktwert_zeitpunkt,factor,year
Roque Santa Cruz,2015-01-02,"1,42",1500000,2000000,1.3333333333333333,2015
Alou Diarra,2012-08-10,"1,83",2500000,5000000,2,2012
György Garics,2010-08-11,"1,83",3000000,2700000,0.9,2010
Martín Demichelis,2011-01-01,"1,42",3000000,8000000,2.6666666666666665,2011
Lucas Neill,2010-01-13,"1,42",840000,4800000,5.714285714285714,2010
Gary O'Neil,2011-01-25,"1,42",2900000,2750000,0.9482758620689655,2011
Stewart Downing,2015-07-16,"1,92",7900000,6000000,0.759493670886076,2015
Rafael van der Vaart,2012-08-31,"1,75",13000000,24500000,1.8846153846153846,2012
Carlos Tevez,2017-01-01,"1,42",10500000,8500000,0.8095238095238095,2017
Aaron Hunt,2015-08-31,"1,75",3000000,3500000,1.1666666666666667,2015
Niklas Moisander,2012-08-21,"1,83",4000000,5000000,1.25,2012
Niklas Moisander,2016-07-09,"1,92",1700000,3000000,1.7647058823529411,2016
Rod Fanni,2010-12-16,"1,50",4000000,7500000,1.875,2010
Jérémy Toulalan,2011-07-01,"1,92",11000000,18000000,1.6363636363636365,2011
Jérémy Toulalan,2013-07-06,"1,92",5000000,15000000,3,2013
Michael Essien,2014-01-25,"1,42",500000,7500000,15,2014
Alberto Gilardino,2014-07-12,"1,92",5500000,5000000,0.9090909090909091,2014
Mauricio Pinilla,2012-07-02,"1,92",3200000,4000000,1.25,2012
Mauricio Pinilla,2014-08-07,"1,83",2000000,3200000,1.6,2014
Mauricio Pinilla,2015-01-08,"1,42",2000000,2200000,1.1,2015
Mario Gómez,2018-01-01,"1,42",3000000,6000000,2,2018
Henri Bedimo,2013-08-01,"1,83",2000000,3500000,1.75,2013
Xabi Alonso,2014-08-29,"1,83",9000000,8000000,0.8888888888888888,2014
Pepe Reina,2014-08-08,"1,83",3000000,9000000,3,2014
Pepe Reina,2015-07-01,"1,92",2000000,4000000,2,2015
Jonathan Soriano,2017-02-26,"1,33",15000000,6000000,0.4,2017
David Villa,2013-07-08,"1,92",2100000,12000000,5.714285714285714,2013
Oier Olazábal,2020-01-31,"1,33",1500000,2000000,1.3333333333333333,2020
Cesc Fàbregas,2014-07-01,"1,92",33000000,50000000,1.5151515151515151,2014
Rui Fonte,2017-08-17,"1,83",6872000,3000000,0.43655413271245636,2017
David Marshall,2016-08-30,"1,83",4100000,2500000,0.6097560975609756,2016
Almen Abdi,2016-07-28,"1,92",3600000,3500000,0.9722222222222222,2016
Luiz Gustavo,2019-09-02,"1,75",6000000,10000000,1.6666666666666667,2019
